Log start 03/26/2023 23:12:38 FirstVal: 25
03/26/2023 23:12:39,0,96
03/26/2023 23:12:40,0,103
03/26/2023 23:13:15,1,104
03/26/2023 23:13:16,1,105
03/26/2023 23:13:18,1,108
03/26/2023 23:13:19,1,114
03/26/2023 23:13:20,1,124
03/26/2023 23:13:21,1,134
03/26/2023 23:13:22,1,144
03/26/2023 23:13:23,1,155
03/26/2023 23:13:24,1,165
03/26/2023 23:13:25,1,174
03/26/2023 23:13:26,2,183
03/26/2023 23:13:27,2,193
03/26/2023 23:13:28,2,203
03/26/2023 23:13:29,2,212
03/26/2023 23:13:30,2,220
03/26/2023 23:13:31,2,227
03/26/2023 23:13:32,2,233
03/26/2023 23:13:33,2,239
03/26/2023 23:13:34,2,244
03/26/2023 23:13:35,2,248
03/26/2023 23:13:36,3,251
03/26/2023 23:13:37,3,253
03/26/2023 23:13:38,3,254
03/26/2023 23:13:39,3,255
03/26/2023 23:13:40,3,256
03/26/2023 23:13:41,3,257
03/26/2023 23:13:42,3,258
03/26/2023 23:13:46,4,259
03/27/2023 02:27:41,5,260
03/27/2023 02:27:42,5,264
03/27/2023 02:27:43,5,274
03/27/2023 02:27:44,5,288
03/27/2023 02:27:45,5,304
03/27/2023 02:27:46,5,321
03/27/2023 02:27:47,5,337
03/27/2023 02:27:48,5,353
03/27/2023 02:27:49,5,367
03/27/2023 02:27:50,5,382
03/27/2023 02:27:51,6,397
03/27/2023 02:27:52,6,411
03/27/2023 02:27:53,6,424
03/27/2023 02:27:54,6,437
03/27/2023 02:27:55,6,450
03/27/2023 02:27:56,6,463
03/27/2023 02:27:57,6,475
03/27/2023 02:27:58,6,486
03/27/2023 02:27:59,6,497
03/27/2023 02:28:00,6,507
03/27/2023 02:28:01,7,517
03/27/2023 02:28:02,7,526
03/27/2023 02:28:03,7,534
03/27/2023 02:28:04,7,541
03/27/2023 02:28:05,7,548
03/27/2023 02:28:06,7,553
03/27/2023 02:28:07,7,558
03/27/2023 02:28:08,7,563
03/27/2023 02:28:09,7,566
03/27/2023 02:28:10,7,570
03/27/2023 02:28:11,8,574
03/27/2023 02:28:12,8,577
03/27/2023 02:28:13,8,580
